Wall time,Step,Value
1683504836.755432,420580,-117.41130828857422
1683504847.0033054,424580,-117.07003021240234
1683504856.6475606,428580,-117.42647552490234
1683504866.8390863,432580,-117.92964935302734
1683504877.3329568,436580,-117.74431610107422
1683504886.9462948,440580,-116.87442016601562
1683504896.927888,444580,-117.05619049072266
1683504905.7900817,448580,-117.59770965576172
1683504915.7251773,452580,-118.40526580810547
1683504924.9969108,456580,-118.48763275146484
1683504934.2841682,460580,-117.79393768310547
1683504944.8493915,464580,-118.06966400146484
1683504954.0766692,468580,-118.3431167602539
1683504964.373257,472580,-118.55005645751953
1683504973.2436306,476580,-119.36570739746094
1683504984.283489,480580,-119.70669555664062
1683504994.2963939,484580,-119.05990600585938
1683505003.5636032,488580,-118.8546371459961
1683505014.573346,492580,-119.31951904296875
1683505025.5885603,496580,-119.4095687866211
